YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1955,13.66,12.26,12.66,17.36,18.66,20.66,21.26,22.56,22.46,18.66,14.36,13.46,12.46,16.23,21.49,18.49,17.17
1956,11.46,7.46,12.26,14.26,18.26,20.46,21.56,20.86,19.06,18.16,12.06,9.65,10.79,14.93,20.96,16.43,15.78
1957,8.85,12.15,14.45,14.65,16.35,19.25,23.05,22.85,21.85,17.55,13.45,9.65,10.22,15.15,21.72,17.62,16.18
1958,11.35,13.05,13.25,14.85,17.35,19.05,21.85,21.45,20.95,18.85,14.05,12.25,11.35,15.15,20.78,17.95,16.31
1959,12.35,11.25,13.15,14.85,16.85,20.05,22.25,22.65,21.05,17.85,13.85,11.84,11.95,14.95,21.65,17.58,16.53
1960,11.04,12.24,13.44,15.94,17.44,20.64,21.94,999.90,999.90,999.90,999.90,999.90,11.71,15.61,21.77,999.90,16.78
1961,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,20.44,16.84,13.24,12.33,999.90,999.90,999.90,16.84,999.90
1962,10.53,10.63,12.43,14.53,16.63,21.13,20.83,22.53,21.03,19.03,11.93,9.53,11.16,14.53,21.50,17.33,16.13
1963,10.33,10.03,12.13,14.93,17.23,18.53,21.83,20.23,19.73,18.93,14.23,10.42,9.96,14.76,20.20,17.63,15.64
1964,10.42,11.82,12.22,14.12,18.52,20.52,21.42,23.02,23.02,17.82,13.52,8.92,10.89,14.95,21.65,18.12,16.40
1965,10.22,9.52,13.22,15.32,18.92,20.42,20.02,22.72,19.02,17.42,13.02,11.42,9.55,15.82,21.05,16.49,15.73
1966,12.92,12.62,13.32,14.82,18.22,20.02,21.62,22.02,22.62,16.42,11.22,10.31,12.32,15.45,21.22,16.75,16.44
1967,9.61,11.21,14.31,14.41,15.21,20.61,20.81,21.41,20.21,18.01,13.01,9.81,10.38,14.64,20.94,17.08,15.76
1968,10.61,11.41,12.01,13.51,16.81,19.61,999.90,999.90,999.90,999.90,999.90,999.90,10.61,14.11,999.90,999.90,999.90
1969,999.90,999.90,999.90,999.90,999.90,18.80,23.40,23.00,18.70,18.30,12.60,10.60,999.90,999.90,21.73,16.53,999.90
1970,11.60,11.30,11.70,14.70,17.70,18.70,22.00,21.20,21.90,18.50,16.10,7.70,11.17,14.70,20.63,18.83,16.33
1971,10.30,12.60,11.70,13.80,15.00,18.10,21.80,20.80,21.30,20.20,13.10,11.39,10.20,13.50,20.23,18.20,15.53
1972,10.19,11.19,11.69,15.09,15.19,16.79,20.99,21.39,19.19,16.49,14.19,11.19,10.92,13.99,19.72,16.62,15.32
1973,10.09,11.19,12.99,15.69,16.99,20.49,20.79,22.79,20.39,17.89,14.39,10.48,10.82,15.22,21.36,17.56,16.24
1974,12.28,11.58,12.38,13.38,17.18,19.28,23.78,22.38,19.38,15.78,13.88,11.18,11.45,14.31,21.81,16.35,15.98
1975,11.28,12.78,11.88,14.38,16.38,18.98,21.98,23.08,19.68,999.90,14.38,9.47,11.75,14.21,21.35,17.16,16.12
1976,9.47,12.17,13.57,13.47,16.97,22.07,22.57,22.97,19.77,16.67,12.17,12.07,10.37,14.67,22.54,16.20,15.95
1977,10.77,12.17,13.97,15.47,16.07,17.77,20.37,20.97,22.17,17.77,13.97,13.37,11.67,15.17,19.70,17.97,16.13
1978,10.97,12.57,13.07,13.27,16.07,17.77,21.97,22.07,23.57,17.87,14.37,13.56,12.30,14.14,20.60,18.60,16.41
1979,11.56,12.06,11.76,14.26,16.86,20.36,22.16,21.56,20.76,16.16,13.56,12.26,12.39,14.29,21.36,16.83,16.22
1980,11.46,12.86,13.16,16.26,16.56,19.36,21.56,22.76,22.16,18.16,13.26,10.15,12.19,15.33,21.23,17.86,16.65
1981,11.25,11.35,14.15,14.15,15.85,21.45,23.05,22.15,21.35,18.55,16.95,13.55,10.92,14.72,22.22,18.95,16.70
1982,11.95,12.65,14.15,15.95,17.55,19.75,20.15,22.75,21.75,17.05,13.65,11.15,12.72,15.88,20.88,17.48,16.74
1983,10.25,10.45,15.25,14.05,15.25,20.85,20.55,21.95,22.45,19.35,16.15,11.84,10.62,14.85,21.12,19.32,16.48
1984,10.74,11.24,11.84,16.94,14.34,19.64,21.34,22.54,21.34,17.44,14.24,12.24,11.27,14.37,21.17,17.67,16.12
1985,9.34,13.14,12.94,15.24,15.64,19.74,21.94,22.24,23.24,19.84,13.94,11.73,11.57,14.61,21.31,19.01,16.62
